	ASV_1	ASV_2	ASV_3	ASV_4	ASV_5	ASV_6	ASV_7	ASV_8	ASV_9	ASV_10	ASV_11	ASV_12	ASV_13	ASV_14	ASV_15	ASV_16	ASV_17	ASV_18	ASV_19	ASV_20	ASV_21	ASV_22	ASV_23	ASV_24	ASV_25	ASV_26	ASV_27	ASV_28	ASV_29	ASV_30	ASV_31	ASV_32	ASV_33	ASV_34	ASV_35	ASV_36	ASV_37	ASV_38	ASV_39	ASV_40	ASV_41	ASV_42	ASV_43	ASV_44	ASV_45	ASV_46	ASV_47	ASV_48	ASV_49	ASV_50	ASV_51	ASV_52	ASV_53	ASV_54	ASV_55	ASV_56	ASV_57	ASV_58	ASV_59	ASV_60	ASV_61	ASV_62	ASV_63	ASV_64	ASV_65	ASV_66	ASV_67	ASV_68	ASV_69	ASV_70	ASV_71	ASV_72	ASV_73	ASV_74	ASV_75	ASV_76	ASV_77	ASV_78	ASV_79	ASV_80	ASV_81	ASV_82	ASV_83	ASV_84	ASV_85	ASV_86	ASV_87	ASV_88	ASV_89	ASV_90	ASV_91	ASV_92	ASV_93	ASV_94	ASV_95	ASV_96	ASV_97	ASV_98	ASV_99	ASV_100
Sample11	39	47	47	256	221	205	11	8	4	114	241	47	22	37	24	46	46	3	1	41	1	39	34	18	22	2	20	34	16	28	17	38	3	33	31	13	20	6	32	19	6	13	7	49	24	23	36	1	26	41	21	19	44	33	15	31	22	16	29	14	47	23	46	45	10	45	48	26	4	14	37	40	39	7	18	39	30	9	36	46	5	21	33	40	28	22	1	21	42	25	4	17	39	0	18	3	36	48	49	17
Sample12	38	24	18	39	4	21	259	183	207	180	36	28	36	33	2	21	35	14	19	24	9	17	24	31	7	22	41	33	9	17	31	45	13	39	12	46	46	16	9	46	11	13	42	28	45	6	14	48	36	38	5	5	34	3	32	35	23	30	19	22	12	36	13	43	19	5	1	49	34	26	13	13	11	18	10	19	24	17	34	33	35	42	45	29	25	20	15	16	35	43	5	25	1	25	47	27	37	18	15	9
Sample13	159	188	141	32	38	28	34	34	11	74	35	12	36	37	31	13	46	5	0	17	4	24	25	29	46	11	35	46	48	30	31	23	36	26	45	28	15	43	39	6	48	1	11	38	3	24	43	12	3	40	1	21	29	24	3	16	44	7	20	23	8	15	10	30	23	33	24	42	27	34	35	29	11	41	12	48	22	27	22	10	37	2	13	12	17	20	8	35	12	6	37	5	7	44	38	11	48	42	18	40
Sample14	39	24	34	248	181	182	32	48	24	106	34	45	9	49	2	25	21	48	36	39	9	32	10	28	36	19	40	23	46	29	34	10	33	12	26	11	36	19	31	10	29	36	0	30	32	20	35	3	49	48	22	17	23	14	3	34	18	39	43	43	35	3	38	19	14	0	2	39	28	32	7	40	45	0	45	32	23	34	5	35	10	9	3	20	31	42	8	13	6	41	21	3	47	19	45	37	0	34	17	7
Sample15	0	28	48	42	5	27	242	194	193	189	18	34	9	33	26	27	33	29	8	7	32	46	37	48	2	4	37	21	11	38	38	12	10	44	48	35	19	35	49	19	20	4	19	46	0	14	14	25	23	10	43	7	41	3	38	48	4	24	31	12	21	23	8	23	47	9	7	37	8	19	34	3	46	28	44	11	37	42	3	16	32	41	29	18	21	12	37	9	35	25	17	43	26	22	27	35	24	39	15	25
Sample16	152	171	154	47	44	4	42	47	35	99	19	5	18	17	28	22	46	37	16	38	37	39	1	44	32	36	33	4	15	34	45	33	40	32	40	34	5	8	32	15	30	37	27	42	18	0	42	24	18	38	1	38	29	44	39	10	31	8	45	21	41	33	25	24	6	20	43	32	37	15	18	3	14	44	0	14	27	46	17	34	23	20	30	18	37	36	10	34	46	24	13	28	21	9	45	46	35	13	7	28
Sample17	27	45	43	278	209	215	36	35	22	111	248	17	16	29	31	13	7	1	8	39	12	42	6	28	27	37	16	32	23	17	28	24	2	5	16	11	18	37	1	3	23	44	42	49	30	11	47	29	35	23	37	31	13	11	16	20	43	1	48	42	25	29	15	35	20	4	32	27	49	33	29	27	40	48	39	40	20	30	8	17	22	15	37	24	16	32	21	24	8	9	9	33	36	10	26	40	16	32	32	9
Sample18	24	17	27	28	29	48	221	177	188	188	46	4	20	14	49	23	39	14	10	13	30	11	17	29	46	29	36	35	18	41	48	6	27	23	39	6	4	47	32	5	19	40	36	22	15	6	22	10	38	45	16	32	5	31	36	25	0	14	20	36	11	17	4	20	41	1	41	0	5	1	13	7	18	34	43	38	42	26	48	39	14	11	10	21	22	23	32	2	31	44	45	16	26	40	3	4	40	13	48	16
Sample19	191	155	167	41	46	29	2	48	38	56	40	46	13	26	18	1	48	10	14	31	46	43	26	15	7	8	24	46	7	38	28	3	28	18	30	28	2	21	32	21	36	46	46	43	13	14	5	6	9	18	34	15	2	31	38	3	22	49	34	32	16	18	9	29	25	21	34	7	18	34	19	1	25	39	18	1	17	10	28	21	26	1	34	30	23	43	35	46	10	18	12	42	28	40	14	12	23	33	11	1
Sample20	22	34	28	265	212	214	0	38	44	133	48	24	8	33	20	44	43	7	23	37	35	35	33	39	33	33	37	19	30	16	43	7	8	15	33	10	0	1	40	25	3	13	36	37	47	20	45	30	24	3	33	11	15	27	28	33	36	2	31	2	13	30	49	23	43	47	5	36	43	39	48	40	28	13	11	28	35	48	12	23	10	40	7	16	49	10	44	37	7	10	30	42	2	4	34	22	1	3	10	5
Sample21	30	15	45	34	39	4	242	191	214	168	13	1	45	37	4	25	18	25	37	32	44	47	26	18	34	43	11	18	20	13	15	19	2	39	23	32	37	23	12	2	27	38	11	19	4	18	49	43	17	25	22	37	6	12	35	47	7	48	29	18	13	18	2	43	13	1	38	31	10	27	24	45	21	34	7	40	34	48	46	18	49	23	2	22	7	16	22	16	32	12	29	15	43	0	36	49	39	23	4	4
Sample22	171	194	143	49	15	11	39	23	38	111	14	9	0	32	17	13	41	44	34	22	23	3	16	17	31	34	22	34	16	30	43	28	24	27	44	5	14	7	29	40	43	24	36	22	40	28	43	9	18	37	29	33	13	30	37	17	12	35	38	22	33	48	12	41	36	9	22	47	1	46	39	21	39	47	7	9	44	37	16	36	16	34	13	31	40	3	44	11	22	7	2	1	12	16	0	29	14	28	26	27
Sample23	41	35	34	264	190	184	9	22	13	147	261	29	44	23	27	6	40	43	29	14	14	4	42	0	23	21	41	42	22	23	46	44	33	32	34	46	33	10	32	41	19	19	48	44	25	24	42	38	35	41	7	13	8	13	38	39	7	3	48	28	19	45	42	29	20	33	24	42	46	38	23	40	20	44	44	1	8	4	44	38	13	29	12	9	5	46	44	23	24	39	29	33	44	21	2	36	31	18	11	40
Sample24	34	32	40	23	49	25	252	191	203	190	0	49	12	14	41	2	36	4	30	32	28	36	43	13	13	43	21	16	36	34	9	45	11	47	47	14	34	12	12	13	23	1	48	15	27	32	44	12	9	31	21	35	14	19	49	34	22	13	11	29	10	18	48	21	17	15	49	36	43	5	13	15	37	19	11	10	37	7	31	20	26	29	44	9	4	24	33	28	7	3	5	7	9	33	46	24	38	5	16	4
Sample25	148	157	174	12	41	25	43	36	4	77	2	44	3	29	21	46	5	5	48	24	7	7	23	46	31	23	20	44	15	43	29	9	41	40	5	31	48	16	25	10	49	38	43	49	1	48	20	30	32	38	43	32	20	17	36	40	42	40	40	38	15	21	29	27	4	47	42	3	43	8	25	28	19	48	47	12	29	33	47	7	17	46	31	35	43	29	8	42	44	46	28	12	35	44	23	47	5	32	5	17
Sample26	15	32	23	246	207	216	28	11	34	140	15	4	0	41	20	22	25	25	4	16	4	41	24	49	45	16	26	42	5	44	24	42	8	12	18	10	24	7	21	17	48	5	27	41	49	31	22	6	49	44	35	22	34	28	34	28	0	40	46	43	30	23	44	6	2	38	18	29	8	19	37	48	28	12	32	9	43	47	21	27	27	34	33	7	28	8	23	24	21	30	7	41	8	40	26	26	0	48	32	25
Sample27	25	13	28	35	18	20	222	208	195	171	22	32	48	16	5	45	33	3	43	32	28	48	6	1	42	9	30	33	7	33	38	33	14	42	29	22	23	20	38	11	31	16	46	7	5	48	42	48	4	45	4	49	1	5	6	28	44	24	17	46	5	44	5	34	22	21	4	5	20	0	22	47	3	37	44	13	33	11	3	4	46	18	44	19	27	20	7	35	3	27	43	7	26	28	39	13	46	39	4	19
Sample28	189	174	186	44	16	38	11	12	28	89	10	0	39	4	0	42	44	18	49	46	46	27	5	27	15	29	5	8	24	2	19	25	39	44	6	25	11	17	1	22	40	24	14	49	8	34	15	41	46	35	12	44	26	31	26	37	23	49	20	24	18	11	16	27	25	11	10	45	23	7	21	29	6	48	25	17	31	37	4	16	46	49	18	31	10	19	6	25	39	10	44	29	33	3	35	47	22	18	27	40
Sample29	48	47	45	259	196	204	30	22	42	114	242	17	31	28	4	46	5	19	13	1	3	30	23	48	3	45	26	25	17	36	4	40	24	24	9	33	17	29	37	11	35	27	5	20	32	43	46	41	48	39	28	1	1	28	27	41	34	9	12	36	36	29	44	13	36	23	11	18	33	22	47	11	27	45	38	8	2	0	36	36	3	7	37	49	0	18	35	37	2	42	42	31	0	4	33	46	38	0	13	48
Sample30	1	19	30	0	27	32	255	184	183	194	9	31	33	3	40	44	36	32	10	13	11	8	32	49	36	22	39	1	24	42	0	48	4	41	40	45	14	17	38	12	33	1	43	0	40	37	14	35	34	36	30	40	34	42	21	20	23	20	20	46	3	37	18	9	23	46	9	31	21	2	18	34	27	48	27	38	2	30	40	35	6	25	15	13	42	18	17	0	28	0	43	35	31	10	28	35	16	4	4	26
Sample31	142	161	172	7	25	29	1	34	17	78	31	46	27	9	11	17	32	19	8	39	44	28	48	29	20	31	33	8	11	39	29	2	10	35	31	33	43	45	25	24	35	34	19	7	24	25	24	19	43	32	46	20	17	1	13	41	16	35	7	7	46	30	41	15	48	39	7	8	2	3	45	10	3	7	4	27	27	3	48	18	44	48	1	49	18	11	2	19	40	48	32	46	24	20	23	38	33	26	32	48
Sample32	47	6	32	285	214	205	49	40	46	161	15	48	30	16	25	37	21	48	33	39	1	13	28	37	13	16	11	8	14	25	48	5	33	26	33	28	15	46	45	44	1	36	49	28	47	10	35	3	33	35	15	1	13	22	6	12	4	11	45	41	3	35	34	15	18	37	23	11	11	24	2	45	21	42	7	2	43	48	12	26	34	39	39	27	8	36	27	27	28	46	16	29	28	34	23	15	40	15	49	11
Sample33	11	2	20	15	25	22	244	189	184	180	7	10	7	9	45	34	20	11	11	38	26	39	42	3	30	49	44	39	25	22	2	4	23	37	27	3	26	30	49	18	14	4	13	31	12	34	10	6	32	2	41	26	19	18	36	48	19	26	39	15	19	18	45	30	24	9	27	10	27	46	41	49	11	19	24	19	14	44	33	33	47	6	16	45	26	41	5	15	33	37	47	0	6	11	41	21	28	5	47	6
Sample34	146	170	169	13	22	9	22	16	8	75	37	20	38	16	33	14	5	46	34	5	30	40	21	0	47	16	6	16	40	43	44	4	14	6	14	16	7	37	14	45	33	0	1	37	8	7	14	0	20	8	29	8	17	30	21	40	20	39	45	7	9	47	25	41	20	34	40	45	29	37	18	20	44	32	26	5	40	49	44	10	8	29	33	23	33	16	43	46	33	23	10	42	48	25	3	20	8	39	40	2
Sample35	36	32	22	251	186	173	16	48	9	143	242	25	25	19	48	24	5	0	34	5	35	21	25	7	17	13	9	0	44	38	13	46	37	4	29	34	45	31	33	35	35	39	8	4	12	45	3	43	16	7	15	0	9	4	4	16	39	1	6	0	23	44	4	24	11	48	35	15	25	14	8	20	2	25	45	26	22	4	21	44	7	6	41	14	43	36	43	16	27	46	12	38	2	18	2	20	12	12	18	9
Sample36	31	47	32	22	11	35	235	179	216	165	23	24	33	23	13	36	47	25	0	2	35	10	27	28	6	8	44	24	25	14	29	22	7	42	36	12	24	10	41	44	5	11	36	46	30	13	20	44	21	32	11	10	24	18	1	8	30	12	22	43	34	35	28	12	40	31	36	0	47	20	27	4	21	38	22	1	39	29	22	46	44	2	15	21	3	47	20	39	12	30	49	16	19	44	33	7	5	47	21	33
Sample37	150	165	140	14	0	33	7	47	16	93	27	21	2	4	25	27	3	13	39	6	25	22	49	38	9	39	16	42	46	48	49	48	4	44	28	40	16	44	43	7	38	35	19	21	40	9	12	41	47	5	16	2	1	33	26	40	45	31	43	4	25	29	36	5	32	6	20	44	20	34	19	47	43	20	29	28	10	23	2	11	16	0	37	29	35	38	27	27	14	40	10	19	19	6	48	48	5	34	4	24
Sample38	40	21	17	267	178	199	28	24	37	156	7	26	49	33	44	9	29	37	21	7	42	0	20	2	6	1	25	39	31	3	3	8	47	30	21	38	28	24	48	28	41	44	25	46	10	1	21	46	36	40	15	22	24	9	20	0	35	30	31	2	36	48	19	43	49	20	7	20	27	45	44	19	1	48	44	37	47	2	41	20	16	35	1	3	17	27	39	11	22	45	30	23	29	46	22	15	19	18	1	34
Sample39	34	21	24	33	46	9	235	181	179	150	27	48	11	5	26	38	10	36	28	41	26	45	48	31	32	44	20	41	9	28	17	34	25	22	3	14	7	32	39	31	11	22	28	33	3	45	18	12	14	38	11	25	32	24	37	1	10	15	10	0	37	32	48	8	3	19	8	29	25	13	6	36	23	41	46	2	31	10	33	10	48	24	1	12	14	40	0	26	43	49	27	49	34	6	22	30	2	11	29	15
Sample40	160	199	179	1	33	18	9	12	45	61	35	12	0	1	8	16	29	10	7	14	4	36	6	9	22	24	27	24	15	21	36	19	17	41	19	28	14	37	10	43	2	46	0	0	33	8	33	21	34	3	7	3	35	1	14	47	14	31	21	3	20	17	20	44	41	25	46	12	32	35	13	2	33	42	22	15	35	44	31	38	32	36	25	22	12	34	35	41	25	25	43	21	34	25	44	41	16	15	46	1
Sample41	47	29	30	271	209	200	25	18	12	115	256	32	43	12	25	38	30	35	10	46	19	20	16	9	20	38	45	38	6	24	24	48	5	9	31	28	26	40	2	17	44	30	34	25	37	2	13	20	27	12	19	17	30	10	20	28	18	31	21	39	39	48	9	35	6	3	14	33	20	11	8	43	26	40	48	29	32	3	44	27	31	0	12	7	18	46	20	46	3	48	5	28	48	39	4	9	48	42	38	23
Sample42	15	37	2	22	47	0	243	208	212	185	7	33	4	42	46	21	23	12	40	28	10	25	19	18	18	8	1	34	16	12	47	41	36	31	35	10	45	7	5	5	17	10	5	42	45	20	3	21	6	48	2	5	13	49	9	32	6	33	42	34	38	27	4	42	21	45	47	3	34	16	18	32	40	8	46	39	23	25	48	4	7	14	46	17	48	47	42	29	25	49	40	21	38	4	30	31	11	9	3	9
Sample43	144	191	177	21	24	4	40	35	41	110	49	40	29	42	21	25	8	42	36	32	9	45	40	45	47	21	42	2	22	17	0	34	47	42	49	31	49	10	8	17	39	9	36	9	3	25	47	27	31	1	15	34	0	30	22	9	27	10	24	31	20	46	35	19	32	21	45	27	33	38	46	8	0	23	19	1	38	26	20	16	18	36	30	11	5	17	34	40	39	4	15	43	26	20	40	33	47	24	32	37
Sample44	19	44	45	264	217	213	6	11	8	137	27	34	29	47	46	43	2	2	13	29	39	35	48	33	18	42	0	49	25	32	45	49	12	29	3	1	6	21	5	18	20	2	4	29	37	7	45	8	10	4	29	21	45	14	38	49	42	9	21	41	9	10	5	17	16	14	39	37	40	8	13	8	7	36	17	16	33	45	45	19	37	12	33	30	47	13	12	33	8	19	3	8	25	13	5	8	46	19	12	21
Sample45	23	7	23	21	44	3	213	200	222	191	27	0	16	10	29	24	30	32	29	38	37	22	19	32	35	45	35	36	20	15	14	17	27	38	26	46	2	23	8	21	14	13	32	49	18	47	26	25	9	43	44	42	15	8	4	39	4	14	27	33	37	44	25	42	23	39	17	30	46	34	37	3	22	48	17	40	27	42	43	40	2	39	38	13	11	34	48	36	4	40	34	36	13	3	36	16	44	30	19	25
